sample_index,timestamp_ms,timestamp_utc,container_id,container_name
8,1776941007245,2026-04-23T10:43:27.245874+00:00,b3ec606673dd,docker-db-1
9,1776941014302,2026-04-23T10:43:34.302919+00:00,2553add0eb44,docker-auth-1
9,1776941014302,2026-04-23T10:43:34.302919+00:00,9f919b0315c7,docker-registry-1
9,1776941014302,2026-04-23T10:43:34.302919+00:00,047bb8dbb031,docker-recommender-1
9,1776941014302,2026-04-23T10:43:34.302919+00:00,9caace330afe,docker-persistence-1
9,1776941014302,2026-04-23T10:43:34.302919+00:00,24025f462381,docker-webui-1
9,1776941014302,2026-04-23T10:43:34.302919+00:00,eaf29550fd31,docker-image-1
9,1776941014302,2026-04-23T10:43:34.302919+00:00,b3ec606673dd,docker-db-1
10,1776941021929,2026-04-23T10:43:41.929769+00:00,2553add0eb44,docker-auth-1
10,1776941021929,2026-04-23T10:43:41.929769+00:00,9f919b0315c7,docker-registry-1
10,1776941021929,2026-04-23T10:43:41.929769+00:00,047bb8dbb031,docker-recommender-1
10,1776941021929,2026-04-23T10:43:41.929769+00:00,9caace330afe,docker-persistence-1
10,1776941021929,2026-04-23T10:43:41.929769+00:00,24025f462381,docker-webui-1
10,1776941021929,2026-04-23T10:43:41.929769+00:00,eaf29550fd31,docker-image-1
10,1776941021929,2026-04-23T10:43:41.929769+00:00,b3ec606673dd,docker-db-1
11,1776941029036,2026-04-23T10:43:49.036539+00:00,2553add0eb44,docker-auth-1
11,1776941029036,2026-04-23T10:43:49.036539+00:00,9f919b0315c7,docker-registry-1
11,1776941029036,2026-04-23T10:43:49.036539+00:00,047bb8dbb031,docker-recommender-1
11,1776941029036,2026-04-23T10:43:49.036539+00:00,9caace330afe,docker-persistence-1
11,1776941029036,2026-04-23T10:43:49.036539+00:00,24025f462381,docker-webui-1
11,1776941029036,2026-04-23T10:43:49.036539+00:00,eaf29550fd31,docker-image-1
11,1776941029036,2026-04-23T10:43:49.036539+00:00,b3ec606673dd,docker-db-1
12,1776941036117,2026-04-23T10:43:56.117133+00:00,2553add0eb44,docker-auth-1
12,1776941036117,2026-04-23T10:43:56.117133+00:00,9f919b0315c7,docker-registry-1
12,1776941036117,2026-04-23T10:43:56.117133+00:00,047bb8dbb031,docker-recommender-1
12,1776941036117,2026-04-23T10:43:56.117133+00:00,9caace330afe,docker-persistence-1
12,1776941036117,2026-04-23T10:43:56.117133+00:00,24025f462381,docker-webui-1
12,1776941036117,2026-04-23T10:43:56.117133+00:00,eaf29550fd31,docker-image-1
12,1776941036117,2026-04-23T10:43:56.117133+00:00,b3ec606673dd,docker-db-1
13,1776941043183,2026-04-23T10:44:03.183313+00:00,2553add0eb44,docker-auth-1
13,1776941043183,2026-04-23T10:44:03.183313+00:00,9f919b0315c7,docker-registry-1
13,1776941043183,2026-04-23T10:44:03.183313+00:00,047bb8dbb031,docker-recommender-1
13,1776941043183,2026-04-23T10:44:03.183313+00:00,9caace330afe,docker-persistence-1
13,1776941043183,2026-04-23T10:44:03.183313+00:00,24025f462381,docker-webui-1
13,1776941043183,2026-04-23T10:44:03.183313+00:00,eaf29550fd31,docker-image-1
13,1776941043183,2026-04-23T10:44:03.183313+00:00,b3ec606673dd,docker-db-1
14,1776941050243,2026-04-23T10:44:10.243079+00:00,2553add0eb44,docker-auth-1
14,1776941050243,2026-04-23T10:44:10.243079+00:00,9f919b0315c7,docker-registry-1
14,1776941050243,2026-04-23T10:44:10.243079+00:00,047bb8dbb031,docker-recommender-1
14,1776941050243,2026-04-23T10:44:10.243079+00:00,9caace330afe,docker-persistence-1
14,1776941050243,2026-04-23T10:44:10.243079+00:00,24025f462381,docker-webui-1
14,1776941050243,2026-04-23T10:44:10.243079+00:00,eaf29550fd31,docker-image-1
14,1776941050243,2026-04-23T10:44:10.243079+00:00,b3ec606673dd,docker-db-1
15,1776941057297,2026-04-23T10:44:17.297263+00:00,2553add0eb44,docker-auth-1
15,1776941057297,2026-04-23T10:44:17.297263+00:00,9f919b0315c7,docker-registry-1
15,1776941057297,2026-04-23T10:44:17.297263+00:00,047bb8dbb031,docker-recommender-1
15,1776941057297,2026-04-23T10:44:17.297263+00:00,9caace330afe,docker-persistence-1
15,1776941057297,2026-04-23T10:44:17.297263+00:00,24025f462381,docker-webui-1
15,1776941057297,2026-04-23T10:44:17.297263+00:00,eaf29550fd31,docker-image-1
15,1776941057297,2026-04-23T10:44:17.297263+00:00,b3ec606673dd,docker-db-1
16,1776941064362,2026-04-23T10:44:24.362086+00:00,2553add0eb44,docker-auth-1
16,1776941064362,2026-04-23T10:44:24.362086+00:00,9f919b0315c7,docker-registry-1
16,1776941064362,2026-04-23T10:44:24.362086+00:00,047bb8dbb031,docker-recommender-1
16,1776941064362,2026-04-23T10:44:24.362086+00:00,9caace330afe,docker-persistence-1
16,1776941064362,2026-04-23T10:44:24.362086+00:00,24025f462381,docker-webui-1
16,1776941064362,2026-04-23T10:44:24.362086+00:00,eaf29550fd31,docker-image-1
16,1776941064362,2026-04-23T10:44:24.362086+00:00,b3ec606673dd,docker-db-1
17,1776941071411,2026-04-23T10:44:31.411384+00:00,2553add0eb44,docker-auth-1
17,1776941071411,2026-04-23T10:44:31.411384+00:00,9f919b0315c7,docker-registry-1
17,1776941071411,2026-04-23T10:44:31.411384+00:00,047bb8dbb031,docker-recommender-1
17,1776941071411,2026-04-23T10:44:31.411384+00:00,9caace330afe,docker-persistence-1
17,1776941071411,2026-04-23T10:44:31.411384+00:00,24025f462381,docker-webui-1
17,1776941071411,2026-04-23T10:44:31.411384+00:00,eaf29550fd31,docker-image-1
17,1776941071411,2026-04-23T10:44:31.411384+00:00,b3ec606673dd,docker-db-1
18,1776941078474,2026-04-23T10:44:38.474533+00:00,2553add0eb44,docker-auth-1
