run,workload,host,port,users,ramp_up,duration,started_utc,jtl_file,meta_file
1,auth,10.0.0.252,8080,10,1,300,20260423T104112Z,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run01.jtl,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run01.txt
2,auth,10.0.0.252,8080,10,1,300,20260423T104626Z,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run02.jtl,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run02.txt
3,auth,10.0.0.252,8080,10,1,300,20260423T105140Z,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run03.jtl,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run03.txt
4,auth,10.0.0.252,8080,10,1,300,20260423T105654Z,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run04.jtl,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run04.txt
5,auth,10.0.0.252,8080,10,1,300,20260423T110208Z,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run05.jtl,C:\Users\nimna\Desktop\uni\533\TeaStore\results\raw\auth\auth_20260423T104112Z_run05.txt
