window_index,start_ms,end_ms,samples,successes,failures,error_rate_pct,throughput_rps,success_avg_ms,success_min_ms,success_p95_ms,success_max_ms,failed_avg_ms,failed_min_ms,failed_p95_ms,failed_max_ms,all_avg_ms
59,1776941464611,1776941474611,631,631,0,0.00,63.10,279.45,17,600,1378,0.00,0,0,0,279.45
60,1776941474611,1776941484611,688,688,0,0.00,68.80,261.31,23,592,1554,0.00,0,0,0,261.31
61,1776941484611,1776941494611,424,424,0,0.00,42.40,171.04,9,397,670,0.00,0,0,0,171.04
62,1776941494611,1776941504611,197,197,0,0.00,19.70,111.38,16,229,325,0.00,0,0,0,111.38
63,1776941504611,1776941514611,1132,1132,0,0.00,113.20,167.46,15,406,2426,0.00,0,0,0,167.46
64,1776941514611,1776941524611,257,257,0,0.00,25.70,653.28,101,1733,3398,0.00,0,0,0,653.28
65,1776941524611,1776941534611,905,905,0,0.00,90.50,210.41,13,626,1651,0.00,0,0,0,210.41
66,1776941534611,1776941544611,600,600,0,0.00,60.00,284.74,41,612,1647,0.00,0,0,0,284.74
67,1776941544611,1776941554611,552,552,0,0.00,55.20,316.84,33,713,1212,0.00,0,0,0,316.84
68,1776941554611,1776941564611,699,699,0,0.00,69.90,254.53,18,516,1135,0.00,0,0,0,254.53
69,1776941564611,1776941574611,647,647,0,0.00,64.70,271.59,19,576,1487,0.00,0,0,0,271.59
70,1776941574611,1776941584611,770,770,0,0.00,77.00,225.13,11,567,1928,0.00,0,0,0,225.13
71,1776941584611,1776941594611,701,701,0,0.00,70.10,254.97,22,525,1589,0.00,0,0,0,254.97
72,1776941594611,1776941604611,861,861,0,0.00,86.10,208.56,17,435,804,0.00,0,0,0,208.56
73,1776941604611,1776941614611,848,848,0,0.00,84.80,212.53,17,420,1512,0.00,0,0,0,212.53
74,1776941614611,1776941624611,589,589,0,0.00,58.90,299.82,36,582,1073,0.00,0,0,0,299.82
75,1776941624611,1776941634611,705,705,0,0.00,70.50,257.51,18,532,839,0.00,0,0,0,257.51
76,1776941634611,1776941644611,460,460,0,0.00,46.00,382.31,63,766,2171,0.00,0,0,0,382.31
77,1776941644611,1776941654611,549,549,0,0.00,54.90,323.99,18,617,1852,0.00,0,0,0,323.99
78,1776941654611,1776941664611,563,563,0,0.00,56.30,322.90,23,685,1579,0.00,0,0,0,322.90
79,1776941664611,1776941674611,652,652,0,0.00,65.20,271.18,28,518,958,0.00,0,0,0,271.18
80,1776941674611,1776941684611,786,786,0,0.00,78.60,235.34,42,431,1953,0.00,0,0,0,235.34
81,1776941684611,1776941694611,562,562,0,0.00,56.20,304.74,27,718,1945,0.00,0,0,0,304.74
82,1776941694611,1776941704611,659,659,0,0.00,65.90,271.11,17,632,1379,0.00,0,0,0,271.11
83,1776941704611,1776941714611,838,838,0,0.00,83.80,211.64,8,525,3217,0.00,0,0,0,211.64
84,1776941714611,1776941724611,1010,1010,0,0.00,101.00,174.11,14,395,1131,0.00,0,0,0,174.11
85,1776941724611,1776941734611,721,721,0,0.00,72.10,250.64,27,541,1039,0.00,0,0,0,250.64
86,1776941734611,1776941744611,600,600,0,0.00,60.00,294.87,17,615,932,0.00,0,0,0,294.87
87,1776941744611,1776941754611,782,782,0,0.00,78.20,225.29,11,505,1427,0.00,0,0,0,225.29
88,1776941754611,1776941764611,921,921,0,0.00,92.10,194.82,31,409,716,0.00,0,0,0,194.82
