sample_index,timestamp_ms,timestamp_utc,container_id,container_name
0,1776937515816,2026-04-23T09:45:15.816096+00:00,2553add0eb44,docker-auth-1
0,1776937515816,2026-04-23T09:45:15.816096+00:00,9f919b0315c7,docker-registry-1
0,1776937515816,2026-04-23T09:45:15.816096+00:00,047bb8dbb031,docker-recommender-1
0,1776937515816,2026-04-23T09:45:15.816096+00:00,9caace330afe,docker-persistence-1
0,1776937515816,2026-04-23T09:45:15.816096+00:00,24025f462381,docker-webui-1
0,1776937515816,2026-04-23T09:45:15.816096+00:00,eaf29550fd31,docker-image-1
0,1776937515816,2026-04-23T09:45:15.816096+00:00,b3ec606673dd,docker-db-1
1,1776937522869,2026-04-23T09:45:22.869320+00:00,2553add0eb44,docker-auth-1
1,1776937522869,2026-04-23T09:45:22.869320+00:00,9f919b0315c7,docker-registry-1
1,1776937522869,2026-04-23T09:45:22.869320+00:00,047bb8dbb031,docker-recommender-1
1,1776937522869,2026-04-23T09:45:22.869320+00:00,9caace330afe,docker-persistence-1
1,1776937522869,2026-04-23T09:45:22.869320+00:00,24025f462381,docker-webui-1
1,1776937522869,2026-04-23T09:45:22.869320+00:00,eaf29550fd31,docker-image-1
1,1776937522869,2026-04-23T09:45:22.869320+00:00,b3ec606673dd,docker-db-1
2,1776937529923,2026-04-23T09:45:29.923499+00:00,2553add0eb44,docker-auth-1
2,1776937529923,2026-04-23T09:45:29.923499+00:00,9f919b0315c7,docker-registry-1
2,1776937529923,2026-04-23T09:45:29.923499+00:00,047bb8dbb031,docker-recommender-1
2,1776937529923,2026-04-23T09:45:29.923499+00:00,9caace330afe,docker-persistence-1
2,1776937529923,2026-04-23T09:45:29.923499+00:00,24025f462381,docker-webui-1
2,1776937529923,2026-04-23T09:45:29.923499+00:00,eaf29550fd31,docker-image-1
2,1776937529923,2026-04-23T09:45:29.923499+00:00,b3ec606673dd,docker-db-1
3,1776937536981,2026-04-23T09:45:36.981648+00:00,2553add0eb44,docker-auth-1
3,1776937536981,2026-04-23T09:45:36.981648+00:00,9f919b0315c7,docker-registry-1
3,1776937536981,2026-04-23T09:45:36.981648+00:00,047bb8dbb031,docker-recommender-1
3,1776937536981,2026-04-23T09:45:36.981648+00:00,9caace330afe,docker-persistence-1
3,1776937536981,2026-04-23T09:45:36.981648+00:00,24025f462381,docker-webui-1
3,1776937536981,2026-04-23T09:45:36.981648+00:00,eaf29550fd31,docker-image-1
3,1776937536981,2026-04-23T09:45:36.981648+00:00,b3ec606673dd,docker-db-1
4,1776937544044,2026-04-23T09:45:44.044883+00:00,2553add0eb44,docker-auth-1
4,1776937544044,2026-04-23T09:45:44.044883+00:00,9f919b0315c7,docker-registry-1
4,1776937544044,2026-04-23T09:45:44.044883+00:00,047bb8dbb031,docker-recommender-1
4,1776937544044,2026-04-23T09:45:44.044883+00:00,9caace330afe,docker-persistence-1
4,1776937544044,2026-04-23T09:45:44.044883+00:00,24025f462381,docker-webui-1
4,1776937544044,2026-04-23T09:45:44.044883+00:00,eaf29550fd31,docker-image-1
4,1776937544044,2026-04-23T09:45:44.044883+00:00,b3ec606673dd,docker-db-1
5,1776937551087,2026-04-23T09:45:51.087104+00:00,2553add0eb44,docker-auth-1
5,1776937551087,2026-04-23T09:45:51.087104+00:00,9f919b0315c7,docker-registry-1
5,1776937551087,2026-04-23T09:45:51.087104+00:00,047bb8dbb031,docker-recommender-1
5,1776937551087,2026-04-23T09:45:51.087104+00:00,9caace330afe,docker-persistence-1
5,1776937551087,2026-04-23T09:45:51.087104+00:00,24025f462381,docker-webui-1
5,1776937551087,2026-04-23T09:45:51.087104+00:00,eaf29550fd31,docker-image-1
5,1776937551087,2026-04-23T09:45:51.087104+00:00,b3ec606673dd,docker-db-1
6,1776937558155,2026-04-23T09:45:58.155642+00:00,2553add0eb44,docker-auth-1
6,1776937558155,2026-04-23T09:45:58.155642+00:00,9f919b0315c7,docker-registry-1
6,1776937558155,2026-04-23T09:45:58.155642+00:00,047bb8dbb031,docker-recommender-1
6,1776937558155,2026-04-23T09:45:58.155642+00:00,9caace330afe,docker-persistence-1
6,1776937558155,2026-04-23T09:45:58.155642+00:00,24025f462381,docker-webui-1
6,1776937558155,2026-04-23T09:45:58.155642+00:00,eaf29550fd31,docker-image-1
6,1776937558155,2026-04-23T09:45:58.155642+00:00,b3ec606673dd,docker-db-1
7,1776937565217,2026-04-23T09:46:05.217272+00:00,2553add0eb44,docker-auth-1
7,1776937565217,2026-04-23T09:46:05.217272+00:00,9f919b0315c7,docker-registry-1
7,1776937565217,2026-04-23T09:46:05.217272+00:00,047bb8dbb031,docker-recommender-1
7,1776937565217,2026-04-23T09:46:05.217272+00:00,9caace330afe,docker-persistence-1
7,1776937565217,2026-04-23T09:46:05.217272+00:00,24025f462381,docker-webui-1
7,1776937565217,2026-04-23T09:46:05.217272+00:00,eaf29550fd31,docker-image-1
7,1776937565217,2026-04-23T09:46:05.217272+00:00,b3ec606673dd,docker-db-1
8,1776937572281,2026-04-23T09:46:12.281150+00:00,2553add0eb44,docker-auth-1
8,1776937572281,2026-04-23T09:46:12.281150+00:00,9f919b0315c7,docker-registry-1
8,1776937572281,2026-04-23T09:46:12.281150+00:00,047bb8dbb031,docker-recommender-1
8,1776937572281,2026-04-23T09:46:12.281150+00:00,9caace330afe,docker-persistence-1
8,1776937572281,2026-04-23T09:46:12.281150+00:00,24025f462381,docker-webui-1
8,1776937572281,2026-04-23T09:46:12.281150+00:00,eaf29550fd31,docker-image-1
8,1776937572281,2026-04-23T09:46:12.281150+00:00,b3ec606673dd,docker-db-1
9,1776937579326,2026-04-23T09:46:19.326248+00:00,2553add0eb44,docker-auth-1
9,1776937579326,2026-04-23T09:46:19.326248+00:00,9f919b0315c7,docker-registry-1
9,1776937579326,2026-04-23T09:46:19.326248+00:00,047bb8dbb031,docker-recommender-1
9,1776937579326,2026-04-23T09:46:19.326248+00:00,9caace330afe,docker-persistence-1
9,1776937579326,2026-04-23T09:46:19.326248+00:00,24025f462381,docker-webui-1
9,1776937579326,2026-04-23T09:46:19.326248+00:00,eaf29550fd31,docker-image-1
9,1776937579326,2026-04-23T09:46:19.326248+00:00,b3ec606673dd,docker-db-1
