window_index,start_ms,end_ms,samples,successes,failures,error_rate_pct,throughput_rps,success_avg_ms,success_min_ms,success_p95_ms,success_max_ms,failed_avg_ms,failed_min_ms,failed_p95_ms,failed_max_ms,all_avg_ms
57,1776937962375,1776937972375,102,102,0,0.00,10.20,1370.47,57,4725,10831,0.00,0,0,0,1370.47
58,1776937972375,1776937982375,117,117,0,0.00,11.70,1178.70,179,2975,3637,0.00,0,0,0,1178.70
59,1776937982375,1776937992375,130,130,0,0.00,13.00,1133.91,87,3058,8188,0.00,0,0,0,1133.91
60,1776937992375,1776938002375,110,110,0,0.00,11.00,1218.56,191,2888,4842,0.00,0,0,0,1218.56
61,1776938002375,1776938012375,50,50,0,0.00,5.00,1194.40,396,2706,3870,0.00,0,0,0,1194.40
62,1776938012375,1776938022375,24,24,0,0.00,2.40,672.58,130,1410,1772,0.00,0,0,0,672.58
63,1776938022375,1776938032375,82,82,0,0.00,8.20,1547.17,180,4377,9890,0.00,0,0,0,1547.17
64,1776938032375,1776938042375,122,122,0,0.00,12.20,1119.03,140,3216,7915,0.00,0,0,0,1119.03
65,1776938042375,1776938052375,125,125,0,0.00,12.50,1145.89,136,2871,5310,0.00,0,0,0,1145.89
66,1776938052375,1776938062375,133,133,0,0.00,13.30,1038.37,74,3583,6225,0.00,0,0,0,1038.37
67,1776938062375,1776938072375,164,164,0,0.00,16.40,968.02,201,2444,4369,0.00,0,0,0,968.02
68,1776938072375,1776938082375,89,89,0,0.00,8.90,1411.91,348,3507,5137,0.00,0,0,0,1411.91
69,1776938082375,1776938092375,124,124,0,0.00,12.40,1286.60,144,3578,6766,0.00,0,0,0,1286.60
70,1776938092375,1776938102375,96,96,0,0.00,9.60,1463.19,53,4611,7903,0.00,0,0,0,1463.19
71,1776938102375,1776938112375,134,134,0,0.00,13.40,1079.99,173,3051,6211,0.00,0,0,0,1079.99
72,1776938112375,1776938122375,188,188,0,0.00,18.80,807.91,26,2977,5128,0.00,0,0,0,807.91
73,1776938122375,1776938132375,124,124,0,0.00,12.40,1103.64,126,2672,4799,0.00,0,0,0,1103.64
74,1776938132375,1776938142375,100,100,0,0.00,10.00,1492.64,141,4076,5984,0.00,0,0,0,1492.64
75,1776938142375,1776938152375,122,122,0,0.00,12.20,1218.88,207,2927,5635,0.00,0,0,0,1218.88
76,1776938152375,1776938162375,121,121,0,0.00,12.10,1250.51,45,3161,10324,0.00,0,0,0,1250.51
77,1776938162375,1776938172375,116,116,0,0.00,11.60,1367.97,207,4884,7278,0.00,0,0,0,1367.97
78,1776938172375,1776938182375,120,120,0,0.00,12.00,1055.97,166,3509,5509,0.00,0,0,0,1055.97
79,1776938182375,1776938192375,109,109,0,0.00,10.90,1352.31,313,2756,6047,0.00,0,0,0,1352.31
80,1776938192375,1776938202375,106,106,0,0.00,10.60,1339.54,81,4192,7313,0.00,0,0,0,1339.54
81,1776938202375,1776938212375,143,143,0,0.00,14.30,1089.28,113,2764,8703,0.00,0,0,0,1089.28
82,1776938212375,1776938222375,89,89,0,0.00,8.90,1414.81,175,4659,8130,0.00,0,0,0,1414.81
83,1776938222375,1776938232375,114,114,0,0.00,11.40,1105.40,145,3997,9181,0.00,0,0,0,1105.40
84,1776938232375,1776938242375,138,138,0,0.00,13.80,1011.65,187,2719,3251,0.00,0,0,0,1011.65
85,1776938242375,1776938252375,89,89,0,0.00,8.90,1548.58,143,5256,9540,0.00,0,0,0,1548.58
86,1776938252375,1776938262375,127,127,0,0.00,12.70,1073.24,92,3102,4967,0.00,0,0,0,1073.24
87,1776938262375,1776938272375,139,139,0,0.00,13.90,1243.51,66,3296,5464,0.00,0,0,0,1243.51
88,1776938272375,1776938282375,102,102,0,0.00,10.20,1284.25,127,2978,6888,0.00,0,0,0,1284.25
89,1776938282375,1776938292375,106,106,0,0.00,10.60,1486.13,18,3583,9845,0.00,0,0,0,1486.13
90,1776938292375,1776938302375,116,116,0,0.00,11.60,1327.15,77,4443,10899,0.00,0,0,0,1327.15
91,1776938302375,1776938312375,76,76,0,0.00,7.60,1901.33,199,5741,13228,0.00,0,0,0,1901.33
92,1776938312375,1776938322375,152,152,0,0.00,15.20,844.55,50,1840,34771,0.00,0,0,0,844.55
96,1776938352375,1776938362375,35,35,0,0.00,3.50,803.43,35,2663,9328,0.00,0,0,0,803.43
97,1776938362375,1776938372375,74,74,0,0.00,7.40,1768.32,189,5224,8972,0.00,0,0,0,1768.32
98,1776938372375,1776938382375,133,133,0,0.00,13.30,1000.02,95,2584,11733,0.00,0,0,0,1000.02
99,1776938382375,1776938392375,154,154,0,0.00,15.40,987.16,45,3546,6577,0.00,0,0,0,987.16
100,1776938392375,1776938402375,77,77,0,0.00,7.70,1943.32,244,5929,10558,0.00,0,0,0,1943.32
101,1776938402375,1776938412375,241,241,0,0.00,24.10,550.88,33,1620,8400,0.00,0,0,0,550.88
102,1776938412375,1776938422375,235,235,0,0.00,23.50,652.46,31,2048,4236,0.00,0,0,0,652.46
103,1776938422375,1776938432375,316,316,0,0.00,31.60,593.58,50,1673,8499,0.00,0,0,0,593.58
104,1776938432375,1776938442375,87,87,0,0.00,8.70,1616.08,80,5969,9096,0.00,0,0,0,1616.08
105,1776938442375,1776938452375,100,100,0,0.00,10.00,1094.75,40,3339,7762,0.00,0,0,0,1094.75
106,1776938452375,1776938462375,245,245,0,0.00,24.50,655.12,46,1387,3880,0.00,0,0,0,655.12
107,1776938462375,1776938472375,186,186,0,0.00,18.60,835.63,65,2567,4807,0.00,0,0,0,835.63
108,1776938472375,1776938482375,145,145,0,0.00,14.50,1066.31,127,2461,5111,0.00,0,0,0,1066.31
109,1776938482375,1776938492375,132,132,0,0.00,13.20,1050.39,103,3092,4048,0.00,0,0,0,1050.39
110,1776938492375,1776938502375,105,105,0,0.00,10.50,1368.66,176,4205,6327,0.00,0,0,0,1368.66
111,1776938502375,1776938512375,160,160,0,0.00,16.00,801.69,77,2399,6776,0.00,0,0,0,801.69
112,1776938512375,1776938522375,294,294,0,0.00,29.40,500.21,54,1182,3473,0.00,0,0,0,500.21
113,1776938522375,1776938532375,280,280,0,0.00,28.00,556.84,52,1128,1638,0.00,0,0,0,556.84
114,1776938532375,1776938542375,290,290,0,0.00,29.00,523.52,47,1129,1982,0.00,0,0,0,523.52
115,1776938542375,1776938552375,209,209,0,0.00,20.90,708.64,125,1361,5124,0.00,0,0,0,708.64
116,1776938552375,1776938562375,231,231,0,0.00,23.10,689.76,51,1929,2921,0.00,0,0,0,689.76
117,1776938562375,1776938572375,269,269,0,0.00,26.90,549.87,25,1345,3946,0.00,0,0,0,549.87
118,1776938572375,1776938582375,135,135,0,0.00,13.50,1224.31,110,3588,7097,0.00,0,0,0,1224.31
119,1776938582375,1776938592375,101,101,0,0.00,10.10,1526.62,201,4134,7112,0.00,0,0,0,1526.62
120,1776938592375,1776938602375,93,93,0,0.00,9.30,1624.17,80,4806,6942,0.00,0,0,0,1624.17
121,1776938602375,1776938612375,112,112,0,0.00,11.20,1206.54,203,3736,5431,0.00,0,0,0,1206.54
122,1776938612375,1776938622375,171,171,0,0.00,17.10,770.99,66,2175,5458,0.00,0,0,0,770.99
123,1776938622375,1776938632375,164,164,0,0.00,16.40,888.03,35,2818,4844,0.00,0,0,0,888.03
124,1776938632375,1776938642375,161,161,0,0.00,16.10,906.25,30,2495,3068,0.00,0,0,0,906.25
125,1776938642375,1776938652375,123,123,0,0.00,12.30,1255.87,350,3158,5972,0.00,0,0,0,1255.87
126,1776938652375,1776938662375,166,166,0,0.00,16.60,760.19,43,1819,4286,0.00,0,0,0,760.19
128,1776938672375,1776938682375,134,134,0,0.00,13.40,664.02,63,1740,5329,0.00,0,0,0,664.02
129,1776938682375,1776938692375,168,168,0,0.00,16.80,934.13,28,2645,6585,0.00,0,0,0,934.13
130,1776938692375,1776938702375,138,138,0,0.00,13.80,969.23,41,2566,5852,0.00,0,0,0,969.23
131,1776938702375,1776938712375,243,243,0,0.00,24.30,617.93,64,1448,1988,0.00,0,0,0,617.93
132,1776938712375,1776938722375,109,109,0,0.00,10.90,1460.93,146,3323,6357,0.00,0,0,0,1460.93
133,1776938722375,1776938732375,132,132,0,0.00,13.20,1046.01,95,3122,5696,0.00,0,0,0,1046.01
134,1776938732375,1776938742375,177,177,0,0.00,17.70,810.69,71,2157,3968,0.00,0,0,0,810.69
135,1776938742375,1776938752375,249,249,0,0.00,24.90,637.64,49,1415,5317,0.00,0,0,0,637.64
136,1776938752375,1776938762375,182,182,0,0.00,18.20,853.07,57,1885,3596,0.00,0,0,0,853.07
137,1776938762375,1776938772375,173,173,0,0.00,17.30,915.49,102,2195,5144,0.00,0,0,0,915.49
138,1776938772375,1776938782375,233,233,0,0.00,23.30,680.50,126,1292,1647,0.00,0,0,0,680.50
139,1776938782375,1776938792375,218,218,0,0.00,21.80,780.66,128,1980,3461,0.00,0,0,0,780.66
140,1776938792375,1776938802375,125,125,0,0.00,12.50,1180.24,117,2792,4851,0.00,0,0,0,1180.24
141,1776938802375,1776938812375,290,290,0,0.00,29.00,477.96,47,1300,2894,0.00,0,0,0,477.96
142,1776938812375,1776938822375,239,239,0,0.00,23.90,631.46,47,1638,5467,0.00,0,0,0,631.46
143,1776938822375,1776938832375,286,286,0,0.00,28.60,554.74,64,1318,2223,0.00,0,0,0,554.74
144,1776938832375,1776938842375,259,259,0,0.00,25.90,559.06,49,1394,3770,0.00,0,0,0,559.06
145,1776938842375,1776938852375,151,151,0,0.00,15.10,1011.95,36,2945,8037,0.00,0,0,0,1011.95
146,1776938852375,1776938862375,272,272,0,0.00,27.20,527.95,49,1685,2896,0.00,0,0,0,527.95
147,1776938862375,1776938872375,336,336,0,0.00,33.60,477.65,49,1035,2715,0.00,0,0,0,477.65
148,1776938872375,1776938882375,359,359,0,0.00,35.90,449.81,18,1029,1582,0.00,0,0,0,449.81
149,1776938882375,1776938892375,298,298,0,0.00,29.80,542.91,86,1131,2476,0.00,0,0,0,542.91
150,1776938892375,1776938902375,240,240,0,0.00,24.00,664.02,38,1524,4445,0.00,0,0,0,664.02
151,1776938902375,1776938912375,245,245,0,0.00,24.50,578.33,22,1426,4783,0.00,0,0,0,578.33
152,1776938912375,1776938922375,196,196,0,0.00,19.60,849.00,47,2345,3028,0.00,0,0,0,849.00
153,1776938922375,1776938932375,167,167,0,0.00,16.70,843.90,163,2109,5403,0.00,0,0,0,843.90
154,1776938932375,1776938942375,164,164,0,0.00,16.40,952.64,173,2187,3696,0.00,0,0,0,952.64
155,1776938942375,1776938952375,170,170,0,0.00,17.00,948.92,29,2062,5518,0.00,0,0,0,948.92
156,1776938952375,1776938962375,207,207,0,0.00,20.70,741.34,35,2069,3462,0.00,0,0,0,741.34
157,1776938962375,1776938972375,240,240,0,0.00,24.00,593.60,57,1412,4652,0.00,0,0,0,593.60
158,1776938972375,1776938982375,97,97,0,0.00,9.70,540.29,142,1217,2235,0.00,0,0,0,540.29
